JourneyRef,DistanceMade,RecordedAt
2022-08-16-53379523,56721,2022-08-16 08:26:39
2022-08-16-53379523,57041,2022-08-16 08:26:53
2022-08-16-53379523,57379,2022-08-16 08:27:08
2022-08-16-53379523,57675,2022-08-16 08:27:23
2022-08-16-53379523,58000,2022-08-16 08:27:38
2022-08-16-53379523,58371,2022-08-16 08:27:53
2022-08-16-53379523,58593,2022-08-16 08:28:03
2022-08-16-53379523,58858,2022-08-16 08:28:27
2022-08-16-53379523,58927,2022-08-16 08:28:40
2022-08-16-53379523,59080,2022-08-16 08:28:53
2022-08-16-53379523,59258,2022-08-16 08:29:08
2022-08-16-53379523,59467,2022-08-16 08:29:23
2022-08-16-53379523,59685,2022-08-16 08:29:38
2022-08-16-53379523,59964,2022-08-16 08:29:54
2022-08-16-53379523,60235,2022-08-16 08:30:08
2022-08-16-53379523,60574,2022-08-16 08:30:24
2022-08-16-53379523,60863,2022-08-16 08:30:38
2022-08-16-53379523,61066,2022-08-16 08:30:53
2022-08-16-53379523,61231,2022-08-16 08:31:09
2022-08-16-53379523,61400,2022-08-16 08:31:25
2022-08-16-53379523,61596,2022-08-16 08:31:39
2022-08-16-53379523,61771,2022-08-16 08:31:55
2022-08-16-53379523,61978,2022-08-16 08:32:09
2022-08-16-53379523,62212,2022-08-16 08:32:24
2022-08-16-53379523,62409,2022-08-16 08:32:39
2022-08-16-53379523,62633,2022-08-16 08:32:54
2022-08-16-53379523,62820,2022-08-16 08:33:09
2022-08-16-53379523,63038,2022-08-16 08:33:24
2022-08-16-53379523,63279,2022-08-16 08:33:39
2022-08-16-53379523,63550,2022-08-16 08:33:54
2022-08-16-53379523,63836,2022-08-16 08:34:09
2022-08-16-53379523,64104,2022-08-16 08:34:24
2022-08-16-53379523,65321,2022-08-16 08:34:34
2022-08-16-53379523,65321,2022-08-16 08:34:49
2022-08-16-53379523,65487,2022-08-16 08:35:09
2022-08-16-53379523,65594,2022-08-16 08:35:26
2022-08-16-53379523,65647,2022-08-16 08:35:41
2022-08-16-53379523,65699,2022-08-16 08:35:51
2022-08-16-53379523,65750,2022-08-16 08:36:15
2022-08-16-53379523,65801,2022-08-16 08:36:33
2022-08-16-53379523,65854,2022-08-16 08:36:47
2022-08-16-53379523,65905,2022-08-16 08:37:09
2022-08-16-53379523,66008,2022-08-16 08:37:24
2022-08-16-53379523,66058,2022-08-16 08:37:35
2022-08-16-53379523,66171,2022-08-16 08:37:50
2022-08-16-53379523,66330,2022-08-16 08:38:12
2022-08-16-53379523,66443,2022-08-16 08:38:23
2022-08-16-53379523,66645,2022-08-16 08:38:34
2022-08-16-53379523,66645,2022-08-16 08:38:51
2022-08-16-53379523,66645,2022-08-16 08:39:04
2022-08-16-53379523,66696,2022-08-16 08:39:26
2022-08-16-53379523,66830,2022-08-16 08:39:50
2022-08-16-53379523,66992,2022-08-16 08:40:11
2022-08-16-53379523,66997,2022-08-16 08:41:10
2022-08-16-53379523,67174,2022-08-16 08:41:39
2022-08-16-53379523,67304,2022-08-16 08:42:08
2022-08-16-53379523,67496,2022-08-16 08:42:26
2022-08-16-53379523,67542,2022-08-16 08:42:56
2022-08-16-53379523,67590,2022-08-16 08:43:53
2022-08-16-53379523,67700,2022-08-16 08:44:39
2022-08-16-53379523,67865,2022-08-16 08:44:56
2022-08-16-53379523,68014,2022-08-16 08:45:05
2022-08-16-53379523,68014,2022-08-16 08:45:59
2022-08-16-53379523,68014,2022-08-16 08:46:34
2022-08-16-53379523,68043,2022-08-16 08:46:56
2022-08-16-53379523,68095,2022-08-16 08:47:02
2022-08-16-53379523,68161,2022-08-16 08:47:16
2022-08-16-53379523,68342,2022-08-16 08:47:39
2022-08-16-53379523,68342,2022-08-16 08:47:43
2022-08-16-53379523,68342,2022-08-16 08:48:02
2022-08-16-53379523,68388,2022-08-16 08:48:56
2022-08-16-53379523,68440,2022-08-16 08:49:06
2022-08-16-53379523,68543,2022-08-16 08:49:21
2022-08-16-53379523,68653,2022-08-16 08:49:37
2022-08-16-53379523,68841,2022-08-16 08:49:56
2022-08-16-53379523,68841,2022-08-16 08:50:04
2022-08-16-53379523,68902,2022-08-16 08:50:15
2022-08-16-53379523,68960,2022-08-16 08:50:37
2022-08-16-53379523,69012,2022-08-16 08:50:45
2022-08-16-53379523,69056,2022-08-16 08:51:04
2022-08-16-53379523,69063,2022-08-16 08:51:29
2022-08-16-53379523,69265,2022-08-16 08:51:56
2022-08-16-53379523,69265,2022-08-16 08:52:08
2022-08-16-53379523,69356,2022-08-16 08:52:22
2022-08-16-53379523,69461,2022-08-16 08:52:36
2022-08-16-53379523,69565,2022-08-16 08:52:55
2022-08-16-53379523,69679,2022-08-16 08:53:06
2022-08-16-53379523,69679,2022-08-16 08:53:22
2022-08-16-53379523,69716,2022-08-16 08:53:31
2022-08-16-53379523,69780,2022-08-16 08:54:23
2022-08-16-53379523,69893,2022-08-16 08:54:38
2022-08-16-53379523,69944,2022-08-16 08:54:43
2022-08-16-53379523,69988,2022-08-16 08:55:42
2022-08-16-53379523,70174,2022-08-16 08:56:25
2022-08-16-53379523,70174,2022-08-16 08:56:30
2022-08-16-53379523,70189,2022-08-16 08:56:50
2022-08-16-53379523,70399,2022-08-16 08:57:11
2022-08-16-53379523,70428,2022-08-16 08:57:25
2022-08-16-53379523,70485,2022-08-16 08:57:35
2022-08-16-53379525,180,2022-08-16 09:30:53
2022-08-16-53379525,365,2022-08-16 09:31:08
2022-08-16-53379525,485,2022-08-16 09:31:23
2022-08-16-53379525,605,2022-08-16 09:32:09
2022-08-16-53379525,850,2022-08-16 09:32:25
2022-08-16-53379525,1070,2022-08-16 09:32:38
2022-08-16-53379525,1200,2022-08-16 09:33:08
2022-08-16-53379525,1405,2022-08-16 09:33:22
2022-08-16-53379525,1710,2022-08-16 09:33:42
2022-08-16-53379525,1900,2022-08-16 09:33:53
2022-08-16-53379525,2244,2022-08-16 09:34:07
2022-08-16-53379525,2244,2022-08-16 09:34:25
2022-08-16-53379525,2379,2022-08-16 09:34:36
2022-08-16-53379525,2635,2022-08-16 09:34:54
2022-08-16-53379525,2670,2022-08-16 09:35:06
2022-08-16-53379525,2916,2022-08-16 09:35:20
2022-08-16-53379525,2916,2022-08-16 09:35:37
2022-08-16-53379525,3011,2022-08-16 09:35:55
2022-08-16-53379525,3217,2022-08-16 09:36:12
2022-08-16-53379525,3217,2022-08-16 09:36:17
2022-08-16-53379525,3237,2022-08-16 09:36:35
2022-08-16-53379525,3402,2022-08-16 09:36:54
2022-08-16-53379525,3517,2022-08-16 09:37:07
2022-08-16-53379525,3692,2022-08-16 09:37:22
2022-08-16-53379525,3928,2022-08-16 09:37:38
2022-08-16-53379525,3928,2022-08-16 09:37:54
2022-08-16-53379525,4124,2022-08-16 09:38:02
2022-08-16-53379525,4124,2022-08-16 09:38:30
2022-08-16-53379525,4124,2022-08-16 09:38:51
2022-08-16-53379525,4304,2022-08-16 09:39:10
2022-08-16-53379525,4484,2022-08-16 09:39:26
2022-08-16-53379525,4524,2022-08-16 09:39:33
2022-08-16-53379525,4649,2022-08-16 09:39:56
2022-08-16-53379525,4788,2022-08-16 09:40:02
2022-08-16-53379525,4788,2022-08-16 09:40:38
2022-08-16-53379525,5038,2022-08-16 09:40:53
2022-08-16-53379525,5170,2022-08-16 09:41:05
2022-08-16-53379525,5170,2022-08-16 09:41:26
2022-08-16-53379525,5305,2022-08-16 09:42:10
2022-08-16-53379525,5471,2022-08-16 09:42:24
2022-08-16-53379525,5610,2022-08-16 09:42:35
2022-08-16-53379525,5665,2022-08-16 09:42:48
2022-08-16-53379525,5935,2022-08-16 09:43:10
2022-08-16-53379525,6115,2022-08-16 09:43:26
2022-08-16-53379525,6170,2022-08-16 09:43:32
2022-08-16-53379525,6284,2022-08-16 09:44:11
2022-08-16-53379525,6284,2022-08-16 09:44:23
2022-08-16-53379525,6414,2022-08-16 09:44:38
2022-08-16-53379525,6624,2022-08-16 09:44:53
2022-08-16-53379525,6759,2022-08-16 09:45:03
2022-08-16-53379525,6789,2022-08-16 09:45:22
2022-08-16-53379525,6924,2022-08-16 09:46:10
2022-08-16-53379525,7079,2022-08-16 09:46:21
2022-08-16-53379525,7124,2022-08-16 09:46:53
2022-08-16-53379525,7234,2022-08-16 09:47:10
2022-08-16-53379525,7419,2022-08-16 09:47:26
2022-08-16-53379525,7584,2022-08-16 09:47:40
2022-08-16-53379525,7724,2022-08-16 09:47:54
2022-08-16-53379525,7724,2022-08-16 09:48:01
2022-08-16-53379525,7724,2022-08-16 09:48:35
2022-08-16-53379525,7944,2022-08-16 09:48:53
2022-08-16-53379525,8169,2022-08-16 09:49:08
2022-08-16-53379525,8409,2022-08-16 09:49:24
2022-08-16-53379525,8672,2022-08-16 09:49:38
2022-08-16-53379525,9064,2022-08-16 09:49:55
2022-08-16-53379525,9374,2022-08-16 09:50:09
2022-08-16-53379525,9599,2022-08-16 09:50:20
2022-08-16-53379525,10084,2022-08-16 09:50:40
2022-08-16-53379525,10464,2022-08-16 09:50:55
2022-08-16-53379525,10884,2022-08-16 09:51:10
2022-08-16-53379525,11309,2022-08-16 09:51:24
2022-08-16-53379525,11709,2022-08-16 09:51:40
2022-08-16-53379525,12104,2022-08-16 09:51:55
2022-08-16-53379525,12469,2022-08-16 09:52:10
2022-08-16-53379525,12719,2022-08-16 09:52:24
2022-08-16-53379525,13009,2022-08-16 09:52:40
2022-08-16-53379525,13319,2022-08-16 09:52:54
2022-08-16-53379525,14459,2022-08-16 09:53:38
2022-08-16-53379525,14889,2022-08-16 09:53:54
2022-08-16-53379525,15304,2022-08-16 09:54:08
2022-08-16-53379525,15719,2022-08-16 09:54:23
2022-08-16-53379525,16134,2022-08-16 09:54:38
2022-08-16-53379525,16529,2022-08-16 09:54:53
2022-08-16-53379525,16894,2022-08-16 09:55:09
2022-08-16-53379525,17249,2022-08-16 09:55:23
2022-08-16-53379525,17609,2022-08-16 09:55:38
2022-08-16-53379525,17979,2022-08-16 09:55:54
2022-08-16-53379525,18379,2022-08-16 09:56:08
2022-08-16-53379525,18764,2022-08-16 09:56:23
2022-08-16-53379525,19199,2022-08-16 09:56:39
2022-08-16-53379525,19609,2022-08-16 09:56:53
2022-08-16-53379525,20009,2022-08-16 09:57:08
2022-08-16-53379525,20409,2022-08-16 09:57:24
2022-08-16-53379525,20814,2022-08-16 09:57:38
2022-08-16-53379525,21219,2022-08-16 09:57:53
2022-08-16-53379525,21624,2022-08-16 09:58:09
2022-08-16-53379525,22064,2022-08-16 09:58:24
2022-08-16-53379525,22474,2022-08-16 09:58:38
2022-08-16-53379525,22894,2022-08-16 09:58:54
2022-08-16-53379525,23284,2022-08-16 09:59:08
2022-08-16-53379525,23669,2022-08-16 09:59:24
2022-08-16-53379525,24084,2022-08-16 09:59:38
2022-08-16-53379525,24489,2022-08-16 09:59:53
2022-08-16-53379525,24954,2022-08-16 10:00:09
2022-08-16-53379525,25374,2022-08-16 10:00:23
2022-08-16-53379525,25749,2022-08-16 10:00:39
2022-08-16-53379525,26244,2022-08-16 10:00:54
2022-08-16-53379525,26679,2022-08-16 10:01:09
2022-08-16-53379525,27119,2022-08-16 10:01:24
2022-08-16-53379525,27514,2022-08-16 10:01:39
2022-08-16-53379525,27899,2022-08-16 10:01:53
2022-08-16-53379525,28314,2022-08-16 10:02:08
2022-08-16-53379525,28724,2022-08-16 10:02:24
2022-08-16-53379525,29134,2022-08-16 10:02:38
2022-08-16-53379525,29549,2022-08-16 10:02:54
2022-08-16-53379525,29909,2022-08-16 10:03:08
2022-08-16-53379525,30259,2022-08-16 10:03:23
2022-08-16-53379525,30609,2022-08-16 10:03:39
2022-08-16-53379525,30964,2022-08-16 10:03:53
2022-08-16-53379525,31364,2022-08-16 10:04:08
2022-08-16-53379525,31809,2022-08-16 10:04:24
2022-08-16-53379525,32234,2022-08-16 10:04:39
2022-08-16-53379525,32654,2022-08-16 10:04:53
2022-08-16-53379525,33069,2022-08-16 10:05:09
2022-08-16-53379525,33474,2022-08-16 10:05:23
2022-08-16-53379525,33889,2022-08-16 10:05:39
2022-08-16-53379525,34279,2022-08-16 10:05:53
2022-08-16-53379525,34679,2022-08-16 10:06:09
2022-08-16-53379525,35039,2022-08-16 10:06:24
2022-08-16-53379525,35379,2022-08-16 10:06:38
2022-08-16-53379525,35814,2022-08-16 10:06:54
2022-08-16-53379525,36204,2022-08-16 10:07:08
2022-08-16-53379525,36659,2022-08-16 10:07:23
2022-08-16-53379525,37049,2022-08-16 10:07:38
2022-08-16-53379525,37444,2022-08-16 10:07:53
2022-08-16-53379525,37854,2022-08-16 10:08:08
2022-08-16-53379525,38429,2022-08-16 10:08:29
2022-08-16-53379525,38679,2022-08-16 10:08:38
2022-08-16-53379525,39111,2022-08-16 10:08:54
2022-08-16-53379525,39504,2022-08-16 10:09:08
2022-08-16-53379525,39944,2022-08-16 10:09:24
2022-08-16-53379525,40334,2022-08-16 10:09:38
2022-08-16-53379525,40779,2022-08-16 10:09:53
2022-08-16-53379525,41195,2022-08-16 10:10:09
2022-08-16-53379525,41609,2022-08-16 10:10:24
2022-08-16-53379525,41989,2022-08-16 10:10:38
2022-08-16-53379525,42424,2022-08-16 10:10:53
2022-08-16-53379525,42829,2022-08-16 10:11:08
2022-08-16-53379525,43244,2022-08-16 10:11:23
2022-08-16-53379525,43643,2022-08-16 10:11:39
2022-08-16-53379525,44019,2022-08-16 10:11:54
2022-08-16-53379525,44369,2022-08-16 10:12:08
2022-08-16-53379525,44749,2022-08-16 10:12:23
2022-08-16-53379525,45119,2022-08-16 10:12:38
2022-08-16-53379525,45459,2022-08-16 10:12:53
2022-08-16-53379525,45709,2022-08-16 10:13:03
2022-08-16-53379525,46279,2022-08-16 10:13:24
2022-08-16-53379525,46644,2022-08-16 10:13:36
2022-08-16-53379525,47044,2022-08-16 10:13:53
2022-08-16-53379525,47444,2022-08-16 10:14:09
